addcslashes()	   返回在指定的字符前添加反斜杠的字符串
addslashes()	   返回在预定义的字符前添加反斜杠的字符串
bin2hex()	   把 ASCII 字符的字符串转换为十六进制值
chop()	           移除字符串右侧的空白字符或其他字符
chr()	            从指定 ASCII 值返回字符
chunk_split()	     把字符串分割为一连串更小的部分
convert_cyr_string()	把字符串由一种 Cyrillic 字符集转换成另一种
convert_uudecode()	对 uuencode 编码的字符串进行解码
convert_uuencode()	使用 uuencode 算法对字符串进行编码
count_chars()	    返回字符串所用字符的信息
crc32()	           计算一个字符串的 32 位 CRC（循环冗余校验）
crypt()	            单向的字符串加密法（hashing）
echo()	             输出一个或多个字符串
explode()	    把字符串打散为数组
fprintf()	   把格式化的字符串写入到指定的输出流
get_html_translation_table()	返回 htmlspecialchars() 和 htmlentities() 使用的翻译表
hebrev()	   把希伯来（Hebrew）文本转换为可见文本
hebrevc()	   把希伯来（Hebrew）文本转换为可见文本，并把新行（\n）转换为 <br>
hex2bin()	    把十六进制值的字符串转换为 ASCII 字符
html_entity_decode()	把 HTML 实体转换为字符
htmlentities()	    把字符转换为 HTML 实体
